------------------------ Sentence Scores --------------------------
====================== HTK Results Analysis =======================
  Date: Mon Sep 22 21:08:01 2014
  Ref : >sh/Documents/ThesisData/ASR/ClassifierTraining/Configs/EvalPhones.mlf
  Rec : >Documents/ThesisData/ASR/ClassifierTraining/Configs/EvalMFCPhones.mlf
-------------------------- File Results ---------------------------
3test_dirty3dB.rec:   52.09(  8.56)  [H= 274, D= 52, S=200, I=229, N=526]
3test_dirty6dB.rec:   52.28( 11.03)  [H= 275, D= 49, S=202, I=217, N=526]
3umo_001ut-3dB.rec:   37.64(-33.84)  [H= 198, D= 45, S=283, I=376, N=526]
3umo_001ut-6dB.rec:   39.73(-37.45)  [H= 209, D= 62, S=255, I=406, N=526]
3umo_001ut00dB.rec:   37.07(-32.70)  [H= 195, D= 33, S=298, I=367, N=526]
3umo_001ut03dB.rec:   37.45(-31.75)  [H= 197, D= 37, S=292, I=364, N=526]
3umo_001ut06dB.rec:   38.21(-30.99)  [H= 201, D= 36, S=289, I=364, N=526]
3umo_005ut-3dB.rec:   37.64(-35.55)  [H= 198, D= 41, S=287, I=385, N=526]
3umo_005ut-6dB.rec:   38.59(-35.36)  [H= 203, D= 52, S=271, I=389, N=526]
3umo_005ut00dB.rec:   37.83(-35.55)  [H= 199, D= 42, S=285, I=386, N=526]
3umo_005ut03dB.rec:   37.45(-33.08)  [H= 197, D= 32, S=297, I=371, N=526]
3umo_005ut06dB.rec:   37.07(-30.80)  [H= 195, D= 34, S=297, I=357, N=526]
3umo_010ut-3dB.rec:   37.64(-36.12)  [H= 198, D= 38, S=290, I=388, N=526]
3umo_010ut-6dB.rec:   37.45(-34.60)  [H= 197, D= 35, S=294, I=379, N=526]
3umo_010ut00dB.rec:   37.64(-36.88)  [H= 198, D= 46, S=282, I=392, N=526]
3umo_010ut03dB.rec:   39.73(-35.55)  [H= 209, D= 57, S=260, I=396, N=526]
3umo_010ut06dB.rec:   37.83(-30.04)  [H= 199, D= 44, S=283, I=357, N=526]
3umo_050ut-3dB.rec:   37.83(-38.21)  [H= 199, D= 48, S=279, I=400, N=526]
3umo_050ut-6dB.rec:   38.59(-36.31)  [H= 203, D= 49, S=274, I=394, N=526]
3umo_050ut00dB.rec:   37.45(-36.31)  [H= 197, D= 44, S=285, I=388, N=526]
3umo_050ut03dB.rec:   38.21(-32.89)  [H= 201, D= 34, S=291, I=374, N=526]
3umo_050ut06dB.rec:   38.21(-33.08)  [H= 201, D= 61, S=264, I=375, N=526]
3umo_080ut-3dB.rec:   37.26(-36.31)  [H= 196, D= 42, S=288, I=387, N=526]
3umo_080ut-6dB.rec:   36.88(-35.36)  [H= 194, D= 36, S=296, I=380, N=526]
3umo_080ut00dB.rec:   37.64(-35.17)  [H= 198, D= 29, S=299, I=383, N=526]
3umo_080ut03dB.rec:   38.21(-34.03)  [H= 201, D= 45, S=280, I=380, N=526]
3umo_080ut06dB.rec:   37.07(-32.32)  [H= 195, D= 46, S=285, I=365, N=526]
3ums_001ut-3dB.rec:   38.21(-35.93)  [H= 201, D= 28, S=297, I=390, N=526]
3ums_001ut00dB.rec:   39.35(-38.21)  [H= 207, D= 49, S=270, I=408, N=526]
3ums_001ut03dB.rec:   39.16(-40.11)  [H= 206, D= 56, S=264, I=417, N=526]
3ums_003ut-3dB.rec:   38.59(-37.45)  [H= 203, D= 45, S=278, I=400, N=526]
